,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Temperatura (°C),Punto de rocío (°C),Humedad (%),Velocidad del viento (m/s),Presión (hPa),Ráfaga de viento (m/s)
2014-04-06,6,552682.81,138888.13,443915.63448999997,78628.01859,1075226.46308,21.365740740740744,-5.393518518518519,17.625,3.4831866666666667,972.359558625,9.83488
2014-04-07,0,631151.18,138877.83,557097.61829,74712.59003,1262961.38832,24.328703703703706,-4.837962962962963,15.208333333333334,2.0489333333333333,976.3385668750001,8.04672
2014-04-08,1,656087.65,132855.6,640296.3330100001,61465.78083,1357849.7638400001,26.01851851851852,-5.277777777777778,14.625,2.086186666666667,977.185164375,0.0
2014-04-09,2,658168.49,116609.31,675326.35641,55894.50112,1389389.34753,26.597222222222218,-5.578703703703703,13.75,2.495973333333333,974.4196125416667,7.59968
2014-04-10,3,657070.68,129441.13,729746.12836,63915.85439000001,1450732.66275,27.75462962962963,-7.87037037037037,11.25,2.998893333333333,972.2607889166667,0.0
2014-04-11,4,641594.61,116368.38,741353.45931,52134.40019,1435082.4695000001,28.587962962962962,-9.467592592592593,9.416666666666666,2.8685066666666668,970.0031955833333,0.0
2014-04-12,5,563944.35,120217.06999999999,644001.77387,56193.433540000005,1264139.55741,26.180555555555557,-7.777777777777778,11.0,3.5763200000000004,966.4898159583332,9.83488
2014-04-13,6,537072.25,132875.64,587075.50636,67705.26242,1191853.01878,24.62962962962963,-1.6666666666666667,18.25,4.191,967.9854715416667,13.4112
2014-04-14,0,585643.15,144400.69,638326.7075,76450.50106000001,1300420.35856,24.583333333333332,-10.25462962962963,9.541666666666666,3.68808,974.6312619166666,9.83488
2014-04-15,1,601949.09,129036.27,669302.29813,69276.12298,1340527.51111,24.953703703703706,-9.398148148148149,10.958333333333334,2.1048133333333334,970.8074632083334,0.0
2014-04-16,2,615682.7,136511.98,676158.16208,66867.07936,1358707.94144,25.48611111111111,-7.75462962962963,11.916666666666666,3.1851599999999998,966.3628263333334,8.9408
2014-04-17,3,615425.39,131202.82,718988.71563,54373.46263,1388787.56826,27.175925925925924,-5.185185185185185,12.75,2.2352000000000003,969.9467557500001,0.0
2014-04-18,4,577290.34,46278.4,655899.43317,50645.59951,1283835.37268,25.25462962962963,2.847222222222222,23.5,3.85572,970.9485627916666,11.176
2014-04-19,5,538957.79,122199.04000000001,605382.86299,52738.12645,1197078.77944,24.76851851851852,5.092592592592593,30.333333333333332,1.4528800000000002,972.0068096666668,8.04672
2014-04-20,6,505009.45999999996,131194.44,623564.52204,48506.18121,1177080.16325,26.435185185185187,3.9814814814814814,25.833333333333332,2.6636133333333336,974.3913926250001,0.0
2014-04-21,0,591150.29,127815.57,771630.29238,45261.88524,1408042.46762,28.634259259259256,2.4768518518518516,20.291666666666668,2.0489333333333337,973.1779362083333,7.59968
2014-04-22,1,550735.89,109330.42,783874.34101,44151.14615,1378761.37716,28.819444444444443,1.4814814814814816,18.541666666666668,4.0792399999999995,967.9431416666666,13.4112
2014-04-23,2,529587.02,141851.37,691173.29018,54036.430980000005,1274796.74116,25.694444444444443,-8.171296296296296,11.041666666666666,4.7498,968.0278014166666,11.176
2014-04-24,3,526425.62,131911.16,679375.75987,63710.704690000006,1269512.08456,25.208333333333332,-8.449074074074074,11.541666666666666,2.45872,971.2730918333333,7.59968
2014-04-25,4,513862.99,125856.14,685453.31172,53482.52679,1252798.8285100001,26.354166666666668,-3.784722222222222,14.583333333333334,4.787053333333334,967.618612625,11.176
2014-04-26,5,464574.57,97918.72,491269.12038,83290.7782,1039134.46858,20.97222222222222,0.6481481481481483,27.333333333333332,7.245773333333333,966.2640566250001,17.8816
2014-04-27,6,443116.63,142820.1,457337.87812,67980.74916,968435.25728,20.50925925925926,-1.6203703703703702,24.125,2.6636133333333336,970.6522536666666,10.28192
2014-04-28,0,507391.69,145279.51,615422.70221,65073.484840000005,1187887.87705,24.259259259259256,-2.5,18.875,3.5018133333333332,971.2589818749999,11.62304
2014-04-29,1,518731.8,157000.53,632757.99521,68745.66447,1220235.45968,25.0,-15.393518518518519,6.416666666666667,5.69976,974.9981208333334,13.85824
2014-04-30,2,521607.22,155157.74,638867.44625,78795.06906000001,1239269.73531,25.0,-12.754629629629632,7.541666666666667,5.830146666666667,973.8552142083332,15.6464
2014-05-01,3,524560.37,143654.56,705317.92561,65565.84412000001,1295444.13973,26.73611111111111,-7.037037037037037,10.791666666666666,4.880186666666667,973.5165752083334,13.4112
2014-05-02,4,520253.38,137713.47,751129.17183,55671.76716,1327054.31899,27.962962962962962,-8.819444444444445,8.916666666666666,2.06756,973.4742453333333,7.59968
2014-05-03,5,488067.02999999997,130189.49,750662.64178,49514.34545,1288244.0172299999,29.51388888888889,-6.018518518518519,11.125,2.9616399999999996,971.428301375,0.0
2014-05-04,6,475561.39,133576.91999999998,766035.3081,47791.08797,1289387.78607,30.474537037037038,-7.291666666666667,9.729166666666666,4.032673333333333,971.1672671458333,10.72896
2014-05-05,0,519294.2,130549.92,816764.48093,50598.708150000006,1386657.38908,29.236111111111114,-5.3240740740740735,11.208333333333334,4.02336,969.9608657083332,11.62304
2014-05-06,1,515025.17,118142.78,668245.29895,57318.826180000004,1240589.29513,24.76851851851852,-3.4953703703703702,15.583333333333334,5.122333333333334,965.6996582916667,16.54048
2014-05-07,2,496978.72,130538.23999999999,524888.08821,74689.14435,1096555.95256,20.694444444444443,-0.5324074074074074,24.708333333333332,3.4831866666666667,968.846179,11.62304
2014-05-08,3,492835.48,142197.31,591569.03658,59481.690160000006,1143886.20674,23.564814814814813,1.2037037037037037,24.75,2.2165733333333333,972.4442183749999,9.38784
2014-05-09,4,490116.17,121830.6,642994.4699,51574.634580000005,1184685.27448,25.069444444444443,-0.06944444444444446,20.5,1.5832666666666668,972.274898875,7.15264
2014-05-10,5,455517.58,138627.07,673644.70286,48611.68677000001,1177773.96963,26.96759259259259,1.1111111111111112,19.833333333333332,4.041986666666667,966.3910462499999,11.62304
2014-05-11,6,430181.21,140434.85,565036.2962,61952.27869000001,1057169.78489,24.722222222222225,-5.0,14.791666666666666,7.3389066666666665,966.4474860833334,13.4112
2014-05-12,0,476303.09,149885.52,662759.51752,72054.43606,1211117.04358,24.97685185185185,-6.018518518518519,13.25,3.7812133333333335,972.9803967916667,7.59968
2014-05-13,1,485929.5,154085.4,679535.18548,61184.43267,1226649.11815,26.435185185185187,-10.11574074074074,9.0,6.854613333333333,977.3262639583332,14.75232
2014-05-14,2,493380.26,149952.33,728526.78446,58365.08965,1280272.13411,28.10185185185185,-9.12037037037037,8.583333333333334,4.69392,977.6084631250001,12.51712
2014-05-15,3,542155.61,135732.04,793947.69724,44435.42502,1380538.73226,29.90740740740741,-6.319444444444444,10.125,3.46456,975.8870482083333,7.59968
2014-05-16,4,599992.56,134618.95,854231.78533,41402.140170000006,1495626.4855,31.48148148148148,-5.7407407407407405,10.416666666666666,2.831253333333333,971.8939300000001,0.0
2014-05-17,5,579526.82,131075.68,810607.40971,40845.305270000004,1430979.53498,32.5,-7.986111111111111,8.166666666666666,3.68808,968.5357599166667,11.62304
2014-05-18,6,536862.15,113947.55,760081.62499,42902.66369,1339846.43868,31.134259259259256,-7.3842592592592595,8.541666666666666,3.9861066666666667,966.7014653333332,10.28192
2014-05-19,0,587513.64,139119.44,870721.09915,44986.3985,1503221.13765,30.925925925925924,-7.986111111111111,8.208333333333334,4.116493333333334,967.449293125,13.4112
2014-05-20,1,603195.8200000001,131691.7,816663.5782,43298.30954,1463157.70774,29.490740740740744,-5.0,11.125,4.30276,968.9590586666667,10.28192
2014-05-21,2,580289.02,141877.21,731622.09616,47193.223130000006,1359104.33929,26.78240740740741,-5.231481481481482,12.75,3.2224133333333334,969.43879725,11.176
2014-05-22,3,569948.29,139935.23,694737.31247,48444.636300000006,1313130.23877,26.365740740740744,-6.481481481481482,12.0,3.0734,970.0878553333333,9.83488
2014-05-23,4,555692.17,134285.05,686576.67669,42471.84932,1284740.69601,26.134259259259256,-0.5092592592592592,18.0,3.68808,970.9062329166667,9.38784
2014-05-24,5,522886.5,134033.28,633147.88983,40405.69877,1196440.0886,27.384259259259256,2.430555555555556,21.5,3.29692,970.6099237916666,9.83488
